Name,Complex
51107,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
55851,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
5663,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
23385,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
51107,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
55851,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
8467,DNMT3B complex
24137,DNMT3B complex
10592,DNMT3B complex
3065,DNMT3B complex
25942,DNMT3B complex
10051,DNMT3B complex
1789,DNMT3B complex
10284,SIN3 complex
8819,SIN3 complex
5928,SIN3 complex
3065,SIN3 complex
5931,SIN3 complex
3066,SIN3 complex
25942,SIN3 complex
5595,HDAC4-ERK1 complex
9759,HDAC4-ERK1 complex
5594,HDAC4-ERK2 complex
9759,HDAC4-ERK2 complex
8841,SMRT complex
6907,SMRT complex
2874,SMRT complex
79718,SMRT complex
9612,SMRT complex
8546,AP3 adaptor complex
8943,AP3 adaptor complex
10947,AP3 adaptor complex
10239,AP3 adaptor complex
8120,AP3 adaptor complex
1176,AP3 adaptor complex
26985,AP3 adaptor complex
6772,Interferon-stimulated gene factor 3 transcription complex ISGF3
6773,Interferon-stimulated gene factor 3 transcription complex ISGF3
10379,Interferon-stimulated gene factor 3 transcription complex ISGF3
9219,Mi2/NuRD complex
53615,Mi2/NuRD complex
5928,Mi2/NuRD complex
3065,Mi2/NuRD complex
1108,Mi2/NuRD complex
5931,Mi2/NuRD complex
3066,Mi2/NuRD complex
9219,MeCP1 complex
53615,MeCP1 complex
5928,MeCP1 complex
3065,MeCP1 complex
1108,MeCP1 complex
5931,MeCP1 complex
3066,MeCP1 complex
8932,MeCP1 complex
5885,Cohesin-SA1 complex
8243,Cohesin-SA1 complex
10274,Cohesin-SA1 complex
9126,Cohesin-SA1 complex
5885,Cohesin-SA2 complex
8243,Cohesin-SA2 complex
10735,Cohesin-SA2 complex
9126,Cohesin-SA2 complex
9282,TRAP complex
9862,TRAP complex
7067,TRAP complex
5469,TRAP complex
9968,TRAP complex
9440,TRAP complex
9967,TRAP complex
10025,TRAP complex
9179,AP4 adaptor complex
23431,AP4 adaptor complex
11154,AP4 adaptor complex
10717,AP4 adaptor complex
5890,BCDX2 complex
5889,BCDX2 complex
7516,BCDX2 complex
5892,BCDX2 complex
4683,MRN complex (MRE11-RAD50-NBN complex)
10111,MRN complex (MRE11-RAD50-NBN complex)
10111,R/M complex (RAD50-MRE11 complex)
4683,MRN complex (MRE11-RAD50-NBN complex)
10111,MRN complex (MRE11-RAD50-NBN complex)
7249,TSC1-TSC2 complex
7248,TSC1-TSC2 complex
9978,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
6500,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
6502,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
8454,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
9978,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
6500,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
9820,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
26259,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
8289,NUMAC complex (nucleosomal methylation activator complex)
6597,NUMAC complex (nucleosomal methylation activator complex)
60,NUMAC complex (nucleosomal methylation activator complex)
6598,NUMAC complex (nucleosomal methylation activator complex)
10498,NUMAC complex (nucleosomal methylation activator complex)
6601,NUMAC complex (nucleosomal methylation activator complex)
6599,NUMAC complex (nucleosomal methylation activator complex)
6605,NUMAC complex (nucleosomal methylation activator complex)
6602,NUMAC complex (nucleosomal methylation activator complex)
57410,NUMAC complex (nucleosomal methylation activator complex)
4928,Nup 107-160 subcomplex
6396,Nup 107-160 subcomplex
57122,Nup 107-160 subcomplex
23279,Nup 107-160 subcomplex
348995,Nup 107-160 subcomplex
79023,Nup 107-160 subcomplex
55746,Nup 107-160 subcomplex
81929,Nup 107-160 subcomplex
79902,Nup 107-160 subcomplex
10640,Exocyst Sec6/8 complex
11336,Exocyst Sec6/8 complex
149371,Exocyst Sec6/8 complex
54536,Exocyst Sec6/8 complex
60412,Exocyst Sec6/8 complex
55770,Exocyst Sec6/8 complex
55763,Exocyst Sec6/8 complex
23265,Exocyst Sec6/8 complex
2189,"FA complex (Fanconi anemia complex), cytoplasmic"
2175,"FA complex (Fanconi anemia complex), cytoplasmic"
2176,"FA complex (Fanconi anemia complex), cytoplasmic"
2188,"FA complex (Fanconi anemia complex), cytoplasmic"
940,CD28-transactivation complex
4691,CD28-transactivation complex
996,Anaphase-promoting complex
8881,Anaphase-promoting complex
64682,Anaphase-promoting complex
8697,Anaphase-promoting complex
51434,Anaphase-promoting complex
51433,Anaphase-promoting complex
29945,Anaphase-promoting complex
29882,Anaphase-promoting complex
8467,SNF2H-BAZ1A complex
11177,SNF2H-BAZ1A complex
2547,Ku antigen-NARG1 complex
7520,Ku antigen-NARG1 complex
80155,Ku antigen-NARG1 complex
996,Anaphase-promoting complex
8881,Anaphase-promoting complex
64682,Anaphase-promoting complex
8697,Anaphase-promoting complex
51434,Anaphase-promoting complex
51433,Anaphase-promoting complex
29945,Anaphase-promoting complex
29882,Anaphase-promoting complex
10393,Anaphase-promoting complex
7157,p300-MDM2-p53 protein complex
4193,p300-MDM2-p53 protein complex
2033,p300-MDM2-p53 protein complex
6594,hNURF complex
5928,hNURF complex
2186,hNURF complex
5931,hNURF complex
5433,RNA polymerase II holoenzyme complex
2963,RNA polymerase II holoenzyme complex
2068,RNA polymerase II holoenzyme complex
5432,RNA polymerase II holoenzyme complex
5434,RNA polymerase II holoenzyme complex
2071,RNA polymerase II holoenzyme complex
6908,RNA polymerase II holoenzyme complex
5430,RNA polymerase II holoenzyme complex
2960,RNA polymerase II holoenzyme complex
2961,RNA polymerase II holoenzyme complex
5431,RNA polymerase II holoenzyme complex
2965,RNA polymerase II holoenzyme complex
2962,RNA polymerase II holoenzyme complex
5438,RNA polymerase II holoenzyme complex
5437,RNA polymerase II holoenzyme complex
5439,RNA polymerase II holoenzyme complex
5440,RNA polymerase II holoenzyme complex
5435,RNA polymerase II holoenzyme complex
5436,RNA polymerase II holoenzyme complex
5441,RNA polymerase II holoenzyme complex
2959,RNA polymerase II holoenzyme complex
2966,RNA polymerase II holoenzyme complex
2967,RNA polymerase II holoenzyme complex
2968,RNA polymerase II holoenzyme complex
5433,RNA polymerase II core complex
5432,RNA polymerase II core complex
5434,RNA polymerase II core complex
5430,RNA polymerase II core complex
5431,RNA polymerase II core complex
5438,RNA polymerase II core complex
5437,RNA polymerase II core complex
5439,RNA polymerase II core complex
5440,RNA polymerase II core complex
5435,RNA polymerase II core complex
5436,RNA polymerase II core complex
5441,RNA polymerase II core complex
8726,Polycomb repressive complex 2 (PRC 2)
5928,Polycomb repressive complex 2 (PRC 2)
23512,Polycomb repressive complex 2 (PRC 2)
2146,Polycomb repressive complex 2 (PRC 2)
5931,Polycomb repressive complex 2 (PRC 2)
2068,TFIIH transcription factor complex
2071,TFIIH transcription factor complex
2965,TFIIH transcription factor complex
1022,TFIIH transcription factor complex
902,TFIIH transcription factor complex
4331,TFIIH transcription factor complex
2966,TFIIH transcription factor complex
2967,TFIIH transcription factor complex
2968,TFIIH transcription factor complex
10471,Prefoldin complex
5201,Prefoldin complex
7411,Prefoldin complex
5204,Prefoldin complex
5203,Prefoldin complex
5202,Prefoldin complex
10302,SNAPc (small nuclear RNA-activating protein) complex
6618,SNAPc (small nuclear RNA-activating protein) complex
6617,SNAPc (small nuclear RNA-activating protein) complex
6621,SNAPc (small nuclear RNA-activating protein) complex
6619,SNAPc (small nuclear RNA-activating protein) complex
8535,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
8467,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
3303,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
648,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
1911,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
6015,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
84733,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
1912,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
80012,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
22955,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
6045,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
57332,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
8535,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
8467,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
3303,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
7528,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
648,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
1911,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
6015,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
84733,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
1912,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
80012,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
22955,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
6045,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
57332,"Polycomb repressive complex 1 (PRC1, hPRC-H)"
2767,GPR56-CD81-Galpha(q/11)-Gbeta complex
2776,GPR56-CD81-Galpha(q/11)-Gbeta complex
975,GPR56-CD81-Galpha(q/11)-Gbeta complex
2782,GPR56-CD81-Galpha(q/11)-Gbeta complex
9289,GPR56-CD81-Galpha(q/11)-Gbeta complex
5277,GPI-GnT activity complex
5283,GPI-GnT activity complex
5279,GPI-GnT activity complex
9091,GPI-GnT activity complex
4049,Lymphotoxin beta receptor complex
4055,Lymphotoxin beta receptor complex
4050,Lymphotoxin beta receptor complex
10248,Rnase/Mrp complex
10799,Rnase/Mrp complex
11102,Rnase/Mrp complex
10775,Rnase/Mrp complex
10557,Rnase/Mrp complex
10556,Rnase/Mrp complex
51367,Rnase/Mrp complex
10940,Rnase/Mrp complex
54913,Rnase/Mrp complex
79897,Rnase/Mrp complex
6950,CCT complex (chaperonin containing TCP1 complex)
908,CCT complex (chaperonin containing TCP1 complex)
22948,CCT complex (chaperonin containing TCP1 complex)
7203,CCT complex (chaperonin containing TCP1 complex)
10694,CCT complex (chaperonin containing TCP1 complex)
10575,CCT complex (chaperonin containing TCP1 complex)
10576,CCT complex (chaperonin containing TCP1 complex)
10574,CCT complex (chaperonin containing TCP1 complex)
10403,NDC80 kinetochore complex
147841,NDC80 kinetochore complex
83540,NDC80 kinetochore complex
57405,NDC80 kinetochore complex
835,PIDDsome complex
8738,PIDDsome complex
55367,PIDDsome complex
7013,Telomere-associated protein complex
7014,Telomere-associated protein complex
65057,Telomere-associated protein complex
26277,Telomere-associated protein complex
25913,Telomere-associated protein complex
54386,Telomere-associated protein complex
4005,E-box sequence-binding complex
4808,E-box sequence-binding complex
8861,E-box sequence-binding complex
84707,E-box sequence-binding complex
682,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
5663,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
23385,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
51107,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
55851,"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"
322,APP-FE65-LRP complex
351,APP-FE65-LRP complex
4035,APP-FE65-LRP complex
164,Gamma-BAR-AP1 complex
8906,Gamma-BAR-AP1 complex
8905,Gamma-BAR-AP1 complex
1174,Gamma-BAR-AP1 complex
162,Gamma-BAR-AP1 complex
55435,Gamma-BAR-AP1 complex
130340,Gamma-BAR-AP1 complex
8907,Gamma-BAR-AP1 complex
10053,Gamma-BAR-AP1 complex
86,PBAF complex (Polybromo- and BAF containing complex)
6597,PBAF complex (Polybromo- and BAF containing complex)
60,PBAF complex (Polybromo- and BAF containing complex)
6598,PBAF complex (Polybromo- and BAF containing complex)
196528,PBAF complex (Polybromo- and BAF containing complex)
55193,PBAF complex (Polybromo- and BAF containing complex)
6601,PBAF complex (Polybromo- and BAF containing complex)
6599,PBAF complex (Polybromo- and BAF containing complex)
6605,PBAF complex (Polybromo- and BAF containing complex)
6602,PBAF complex (Polybromo- and BAF containing complex)
2960,TFIIE complex
2961,TFIIE complex
2963,TFIIF complex (transcription factor IIF)
2962,TFIIF complex (transcription factor IIF)
6874,TFIID complex
6908,TFIID complex
6872,TFIID complex
6878,TFIID complex
6881,TFIID complex
6877,TFIID complex
6882,TFIID complex
6880,TFIID complex
6873,TFIID complex
50628,Retrotranslocation complex
84447,Retrotranslocation complex
79139,Retrotranslocation complex
10592,Condensin I complex
23397,Condensin I complex
9918,Condensin I complex
64151,Condensin I complex
10051,Condensin I complex
10592,Condensin I-PARP-1-XRCC1 complex
142,Condensin I-PARP-1-XRCC1 complex
7515,Condensin I-PARP-1-XRCC1 complex
23397,Condensin I-PARP-1-XRCC1 complex
9918,Condensin I-PARP-1-XRCC1 complex
64151,Condensin I-PARP-1-XRCC1 complex
10051,Condensin I-PARP-1-XRCC1 complex
10592,Condensin II
23310,Condensin II
29781,Condensin II
54892,Condensin II
10051,Condensin II
91949,COG complex
22796,COG complex
9382,COG complex
83548,COG complex
84342,COG complex
25839,COG complex
10466,COG complex
57511,COG complex
5885,Cohesin-SA2 complex
8243,Cohesin-SA2 complex
10735,Cohesin-SA2 complex
9126,Cohesin-SA2 complex
5885,Cohesin-SA1 complex
8243,Cohesin-SA1 complex
10274,Cohesin-SA1 complex
9126,Cohesin-SA1 complex
5885,Cohesin-SA1 complex
8243,Cohesin-SA1 complex
10274,Cohesin-SA1 complex
9126,Cohesin-SA1 complex
5885,Cohesin-SA2 complex
8243,Cohesin-SA2 complex
10735,Cohesin-SA2 complex
9126,Cohesin-SA2 complex
10592,Condensin I complex
23397,Condensin I complex
9918,Condensin I complex
64151,Condensin I complex
10051,Condensin I complex
4683,MRN complex (MRE11-RAD50-NBN complex)
10111,MRN complex (MRE11-RAD50-NBN complex)
8473,OGT-TRAK1-TRAK2 complex
66008,OGT-TRAK1-TRAK2 complex
22906,OGT-TRAK1-TRAK2 complex
4728,"Respiratory chain complex I (holoenzyme), mitochondrial"
4697,"Respiratory chain complex I (holoenzyme), mitochondrial"
4706,"Respiratory chain complex I (holoenzyme), mitochondrial"
4694,"Respiratory chain complex I (holoenzyme), mitochondrial"
4724,"Respiratory chain complex I (holoenzyme), mitochondrial"
4711,"Respiratory chain complex I (holoenzyme), mitochondrial"
4709,"Respiratory chain complex I (holoenzyme), mitochondrial"
4717,"Respiratory chain complex I (holoenzyme), mitochondrial"
4695,"Respiratory chain complex I (holoenzyme), mitochondrial"
4725,"Respiratory chain complex I (holoenzyme), mitochondrial"
374291,"Respiratory chain complex I (holoenzyme), mitochondrial"
4720,"Respiratory chain complex I (holoenzyme), mitochondrial"
4726,"Respiratory chain complex I (holoenzyme), mitochondrial"
4707,"Respiratory chain complex I (holoenzyme), mitochondrial"
4722,"Respiratory chain complex I (holoenzyme), mitochondrial"
4712,"Respiratory chain complex I (holoenzyme), mitochondrial"
4696,"Respiratory chain complex I (holoenzyme), mitochondrial"
4710,"Respiratory chain complex I (holoenzyme), mitochondrial"
4714,"Respiratory chain complex I (holoenzyme), mitochondrial"
4708,"Respiratory chain complex I (holoenzyme), mitochondrial"
4701,"Respiratory chain complex I (holoenzyme), mitochondrial"
4718,"Respiratory chain complex I (holoenzyme), mitochondrial"
4705,"Respiratory chain complex I (holoenzyme), mitochondrial"
4716,"Respiratory chain complex I (holoenzyme), mitochondrial"
4713,"Respiratory chain complex I (holoenzyme), mitochondrial"
4729,"Respiratory chain complex I (holoenzyme), mitochondrial"
4719,"Respiratory chain complex I (holoenzyme), mitochondrial"
4723,"Respiratory chain complex I (holoenzyme), mitochondrial"
4702,"Respiratory chain complex I (holoenzyme), mitochondrial"
4731,"Respiratory chain complex I (holoenzyme), mitochondrial"
4700,"Respiratory chain complex I (holoenzyme), mitochondrial"
4698,"Respiratory chain complex I (holoenzyme), mitochondrial"
4704,"Respiratory chain complex I (holoenzyme), mitochondrial"
126328,"Respiratory chain complex I (holoenzyme), mitochondrial"
54539,"Respiratory chain complex I (holoenzyme), mitochondrial"
51079,"Respiratory chain complex I (holoenzyme), mitochondrial"
55967,"Respiratory chain complex I (holoenzyme), mitochondrial"
4715,"Respiratory chain complex I (holoenzyme), mitochondrial"
5499,PNUTS-PP1 complex
5514,PNUTS-PP1 complex
5688,26S proteasome
5702,26S proteasome
5689,26S proteasome
5682,26S proteasome
5683,26S proteasome
5684,26S proteasome
5685,26S proteasome
5686,26S proteasome
5692,26S proteasome
5694,26S proteasome
5693,26S proteasome
5701,26S proteasome
5704,26S proteasome
5691,26S proteasome
5690,26S proteasome
5710,26S proteasome
5687,26S proteasome
5700,26S proteasome
5705,26S proteasome
5706,26S proteasome
5695,26S proteasome
5719,26S proteasome
23191,Wave-2 complex
10006,Wave-2 complex
55845,Wave-2 complex
10787,Wave-2 complex
10163,Wave-2 complex
8289,BAF complex
51412,BAF complex
86,BAF complex
6595,BAF complex
6597,BAF complex
60,BAF complex
71,BAF complex
6598,BAF complex
57492,BAF complex
6601,BAF complex
6599,BAF complex
6605,BAF complex
6602,BAF complex
9184,Mitotic checkpoint complex (MCC)
701,Mitotic checkpoint complex (MCC)
991,Mitotic checkpoint complex (MCC)
4085,Mitotic checkpoint complex (MCC)
5688,20S proteasome
5689,20S proteasome
5682,20S proteasome
5683,20S proteasome
5684,20S proteasome
5685,20S proteasome
5686,20S proteasome
5692,20S proteasome
5694,20S proteasome
5693,20S proteasome
5691,20S proteasome
5690,20S proteasome
5687,20S proteasome
5695,20S proteasome
5688,PA28-20S proteasome
5689,PA28-20S proteasome
5682,PA28-20S proteasome
5683,PA28-20S proteasome
5684,PA28-20S proteasome
5685,PA28-20S proteasome
5686,PA28-20S proteasome
5692,PA28-20S proteasome
5694,PA28-20S proteasome
5693,PA28-20S proteasome
5691,PA28-20S proteasome
5690,PA28-20S proteasome
5687,PA28-20S proteasome
5720,PA28-20S proteasome
5695,PA28-20S proteasome
5721,PA28-20S proteasome
5717,PA700-20S-PA28 complex
5718,PA700-20S-PA28 complex
5715,PA700-20S-PA28 complex
10213,PA700-20S-PA28 complex
5688,PA700-20S-PA28 complex
5709,PA700-20S-PA28 complex
5716,PA700-20S-PA28 complex
5702,PA700-20S-PA28 complex
5689,PA700-20S-PA28 complex
5682,PA700-20S-PA28 complex
5683,PA700-20S-PA28 complex
5684,PA700-20S-PA28 complex
5685,PA700-20S-PA28 complex
5686,PA700-20S-PA28 complex
5692,PA700-20S-PA28 complex
5694,PA700-20S-PA28 complex
5693,PA700-20S-PA28 complex
5701,PA700-20S-PA28 complex
5704,PA700-20S-PA28 complex
5714,PA700-20S-PA28 complex
5691,PA700-20S-PA28 complex
5690,PA700-20S-PA28 complex
5713,PA700-20S-PA28 complex
5710,PA700-20S-PA28 complex
5687,PA700-20S-PA28 complex
5700,PA700-20S-PA28 complex
5705,PA700-20S-PA28 complex
5706,PA700-20S-PA28 complex
5720,PA700-20S-PA28 complex
5708,PA700-20S-PA28 complex
9861,PA700-20S-PA28 complex
5711,PA700-20S-PA28 complex
5695,PA700-20S-PA28 complex
5707,PA700-20S-PA28 complex
5721,PA700-20S-PA28 complex
5719,PA700-20S-PA28 complex
5688,PA28gamma-20S proteasome
5689,PA28gamma-20S proteasome
5682,PA28gamma-20S proteasome
5683,PA28gamma-20S proteasome
5684,PA28gamma-20S proteasome
5685,PA28gamma-20S proteasome
5686,PA28gamma-20S proteasome
5692,PA28gamma-20S proteasome
5694,PA28gamma-20S proteasome
5693,PA28gamma-20S proteasome
5691,PA28gamma-20S proteasome
5690,PA28gamma-20S proteasome
5687,PA28gamma-20S proteasome
10197,PA28gamma-20S proteasome
5695,PA28gamma-20S proteasome
672,HUIC complex
580,HUIC complex
4683,BRCA1-RAD50-MRE11-NBS1 complex
672,BRCA1-RAD50-MRE11-NBS1 complex
10111,BRCA1-RAD50-MRE11-NBS1 complex
7428,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"
9978,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"
8453,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"
6921,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"
6923,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"
3981,DNA ligase IV-XRCC4 complex
7518,DNA ligase IV-XRCC4 complex
6921,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"
6923,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"
8065,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"
51676,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"
9616,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"
6921,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"
6923,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"
8065,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"
9616,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"
51665,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"
6921,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"
6923,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"
8065,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"
140459,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"
9616,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"
6921,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"
6923,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"
8065,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"
140460,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"
9616,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"
6921,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"
6923,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"
142689,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"
8065,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"
9616,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"
7515,DNA ligase III-XRCC1 complex
3980,DNA ligase III-XRCC1 complex
7515,DNA ligase IV-XRCC1 complex
3981,DNA ligase IV-XRCC1 complex
9978,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"
6921,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"
6923,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"
8065,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"
26118,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"
9443,CRSP complex
9282,CRSP complex
9862,CRSP complex
9441,CRSP complex
5469,CRSP complex
9442,CRSP complex
9440,CRSP complex
9439,CRSP complex
9443,CRSP complex
9282,CRSP complex
9862,CRSP complex
9441,CRSP complex
5469,CRSP complex
9442,CRSP complex
9440,CRSP complex
9439,CRSP complex
9978,CAND1-CUL1-RBX1 complex
8454,CAND1-CUL1-RBX1 complex
55832,CAND1-CUL1-RBX1 complex
4869,ARF-Mule complex
10075,ARF-Mule complex
1029,ARF-Mule complex
9978,CAND1-CUL2-RBX1 complex
8453,CAND1-CUL2-RBX1 complex
55832,CAND1-CUL2-RBX1 complex
9978,CAND1-CUL3-RBX1 complex
8452,CAND1-CUL3-RBX1 complex
55832,CAND1-CUL3-RBX1 complex
9978,CAND1-CUL4A-RBX1 complex
8451,CAND1-CUL4A-RBX1 complex
55832,CAND1-CUL4A-RBX1 complex
9978,CAND1-CUL4B-RBX1 complex
8450,CAND1-CUL4B-RBX1 complex
55832,CAND1-CUL4B-RBX1 complex
